,flip-class,premID,premise,hypoID,hypothesis,orig-hypothesis,lab_count,maj_count,mask-type,model-label,response,model-wrong,orig-label
272,Uncertain-Same,11045.0,"Several other attractions are nearby, all in Griffith Park, including train, pony, and stagecoach rides, a carousel, and the Griffith Observatory.",31663.0,There is a lot of fun to be had in Griffith Park.,There is some fun to be had in Griffith Park.,2.0,3.0,gradient,entailment,neutral,True,entailment
273,Uncertain-Flip,11045.0,"Several other attractions are nearby, all in Griffith Park, including train, pony, and stagecoach rides, a carousel, and the Griffith Observatory.",31664.0,There is some fun not to be had in Griffith Park.,There is some fun to be had in Griffith Park.,2.0,3.0,gradient,contradiction,neutral,True,entailment
276,Uncertain-Same,11101.0,In the winter the falls form a spectacular cascade of icicles.,57296.0,The temperatures in the fall are not enough to create ice.,The temperatures in winter time are not enough to create ice.,2.0,3.0,content-words,contradiction,neutral,True,contradiction
277,Uncertain-Same,11101.0,In the winter the falls form a spectacular cascade of icicles.,57300.0,The temperatures in winter time are not enough to.,The temperatures in winter time are not enough to create ice.,2.0,3.0,content-words,contradiction,neutral,True,contradiction
279,Certain-Same,11294.0,The Six Major Puzzles in International  Is There a Common Cause?,58199.0,Is there a single common cause with the major international puzzles?,Is there a common cause with the major international puzzles?,2.0,3.0,content-words,entailment,neutral,True,entailment
280,Uncertain-Flip,11294.0,The Six Major Puzzles in International  Is There a Common Cause?,58201.0,Is there no common cause with the major international puzzles?,Is there a common cause with the major international puzzles?,2.0,3.0,content-words,contradiction,neutral,True,entailment
281,Uncertain-Same,11294.0,The Six Major Puzzles in International  Is There a Common Cause?,58207.0,Is there a common problem with the major international puzzles?,Is there a common cause with the major international puzzles?,2.0,3.0,content-words,entailment,neutral,True,entailment
287,Uncertain-Same,11741.0,"Two famous luxury grocery shops, Fauchon and Hediard, compete on place de la Madeleine.",60807.0,Fauchon and Hediard are very good and are in competition.,Fauchon and Hediard sell luxury good and are in competition.,1.0,3.0,content-words,entailment,neutral,True,entailment
291,Uncertain-Flip,12000.0," You may want to visit some of the other inland hamlets Santa In??s, Sant Joan, and Sant Carles, to name just three.",62076.0,Sant Joan is the name of a large town on the island.,Sant Joan is the name of a large city on the island.,2.0,3.0,content-words,neutral,contradiction,True,contradiction
294,Uncertain-Flip,12134.0,Both ESPN and CNBC offer an infinite supply of statistics that give the viewer the illusion of deeper understanding.,34956.0,Seeing lots of numbers without understanding their significance can make people understand things.,Seeing lots of numbers without understanding their significance can really make people understand things.,2.0,3.0,gradient,neutral,contradiction,True,contradiction
297,Uncertain-Same,12134.0,Both ESPN and CNBC offer an infinite supply of statistics that give the viewer the illusion of deeper understanding.,34962.0,Seeing lots of numbers without understanding their significance does not help people understand things.,Seeing lots of numbers without understanding their significance can really make people understand things.,2.0,3.0,gradient,contradiction,entailment,True,contradiction
298,Uncertain-Flip,12204.0,Muslims revere the sites on the Temple  the Dome of the Rock and El-Aksa Mosque.,6533.0,Muslims know the whereabouts of the Temple the Dome of the Rock.,Muslims do not know the whereabouts of the Temple the Dome of the Rock.,2.0,3.0,data-slices,entailment,neutral,True,contradiction
299,Certain-Flip,12204.0,Muslims revere the sites on the Temple  the Dome of the Rock and El-Aksa Mosque.,6534.0,Muslims do care about the whereabouts of the Temple the Dome of the Rock.,Muslims do not know the whereabouts of the Temple the Dome of the Rock.,2.0,3.0,data-slices,entailment,contradiction,True,contradiction
300,Uncertain-Same,12204.0,Muslims revere the sites on the Temple  the Dome of the Rock and El-Aksa Mosque.,6535.0,Muslims want to know the whereabouts of the Temple the Dome of the Rock.,Muslims do not know the whereabouts of the Temple the Dome of the Rock.,2.0,3.0,data-slices,contradiction,entailment,True,contradiction
307,Uncertain-Flip,12404.0,do you know who the guy was that was playing the uh the the wagon driver,64009.0,Do you know who played the driver of the red?,Do you know who played the driver of the red wagon?,2.0,3.0,content-words,entailment,contradiction,True,neutral
308,Uncertain-Flip,12404.0,do you know who the guy was that was playing the uh the the wagon driver,64012.0,Do you know who played the driver of the                ?,Do you know who played the driver of the red wagon?,1.0,3.0,content-words,entailment,neutral,True,neutral
315,Uncertain-Same,12507.0,"Then I told him that it was worth just about fifty thousand dollars to me if he'd get out.""",64540.0,"To get me out, he had to give me fifty thousand dollars.","To get me out, it was worth fifty thousand dollars. ",2.0,3.0,content-words,entailment,neutral,True,entailment
316,Certain-Same,12507.0,"Then I told him that it was worth just about fifty thousand dollars to me if he'd get out.""",64541.0,"To get me out, it was worth fifty.","To get me out, it was worth fifty thousand dollars. ",2.0,3.0,content-words,entailment,contradiction,True,entailment
317,Uncertain-Flip,12943.0,"Reliefs depict Ptolemaic Pharaohs worshipping Horus, and the interior carvings of their food offerings are especially impressive.",66866.0,"The reliefs depict Ptolemaic Pharaohs, pastoral scenes from Egypt's farming industry.","The reliefs show idyllic, pastoral scenes from Egypt's farming industry.",2.0,3.0,content-words,neutral,contradiction,True,contradiction
318,Uncertain-Flip,12943.0,"Reliefs depict Ptolemaic Pharaohs worshipping Horus, and the interior carvings of their food offerings are especially impressive.",66873.0,"The reliefs show Ptolemaic Pharaohs, pastoral scenes from Egypt's farming industry.","The reliefs show idyllic, pastoral scenes from Egypt's farming industry.",2.0,3.0,content-words,neutral,contradiction,True,contradiction
322,Certain-Flip,13178.0,"It began as a Roman redoubt, but its present style was devised in the 16th century.",7117.0,"The redoubt stands to this day, it's style was developed in the 16th century.","The redoubt stands to this day, it's style never changing. ",2.0,3.0,data-slices,entailment,contradiction,True,contradiction
325,Uncertain-Same,13311.0,"I could not move on to the second sentence until the first sentence sounded true, she writes somewhat diffidently.",38521.0,"I could not progress to the second statement due to the first being true, she wrote.","I could not progress to the second statement without the first being true, she wrote.",1.0,3.0,gradient,entailment,contradiction,True,entailment
330,Uncertain-Flip,13466.0,"The parish church, the Eglise Sainte-Croix, is worth a visit for the splendid 16th-century altarpiece by Jean Bongartz of Colmar.",38947.0,"The Eglise Sainte-Croix, is worth a visit because it has beautiful stained glass windows.",The Eglise Sainte-Croix has beautiful stained glass windows.,1.0,3.0,gradient,contradiction,neutral,True,neutral
331,Uncertain-Flip,13466.0,"The parish church, the Eglise Sainte-Croix, is worth a visit for the splendid 16th-century altarpiece by Jean Bongartz of Colmar.",38948.0,The Eglise Sainte-Croix is worth a visit for the beautiful stained glass windows.,The Eglise Sainte-Croix has beautiful stained glass windows.,1.0,3.0,gradient,contradiction,neutral,True,neutral
332,Uncertain-Same,13514.0,"Did Simova never mention that the family was Jewish, when living with the Korbels or during subsequent sporadic communications?",7254.0,Did Simova tell the Korbels anything about the family being Jewish?,Did Simova not say anything about the family being Jewish?,2.0,3.0,data-slices,entailment,neutral,True,entailment
333,Uncertain-Same,13514.0,"Did Simova never mention that the family was Jewish, when living with the Korbels or during subsequent sporadic communications?",7255.0,Did Simova say anything about the family being Jewish?,Did Simova not say anything about the family being Jewish?,2.0,3.0,data-slices,entailment,neutral,True,entailment
334,Uncertain-Flip,13514.0,"Did Simova never mention that the family was Jewish, when living with the Korbels or during subsequent sporadic communications?",7257.0,Did Simova really say anything about the family being Jewish?,Did Simova not say anything about the family being Jewish?,2.0,3.0,data-slices,contradiction,neutral,True,entailment
335,Uncertain-Flip,13953.0,but then i have to wait for my tomatoes have to go in here in the next couple of weeks,40372.0,I have to get my tomatoes in here as soon as possible.,I can put my tomatoes in here as soon as possible.,2.0,3.0,gradient,neutral,contradiction,True,contradiction
338,Certain-Flip,13953.0,but then i have to wait for my tomatoes have to go in here in the next couple of weeks,40381.0,I can put my tomatoes in here as.,I can put my tomatoes in here as soon as possible.,2.0,3.0,gradient,entailment,neutral,True,contradiction
339,Uncertain-Same,14106.0,But each tradition is a component of Jerusalem's greatness.,40855.0,Each tradition is important to and is part of Jerusalem's greatness.,Each tradition contributes to and is part of Jerusalem's greatness.,2.0,3.0,gradient,entailment,neutral,True,entailment
340,Certain-Flip,14106.0,But each tradition is a component of Jerusalem's greatness.,40858.0,Each tradition contributes to and detracts from Jerusalem's greatness.,Each tradition contributes to and is part of Jerusalem's greatness.,2.0,3.0,gradient,neutral,contradiction,True,entailment
342,Uncertain-Same,14106.0,But each tradition is a component of Jerusalem's greatness.,40861.0,Each tradition is important and is part of Jerusalem's greatness.,Each tradition contributes to and is part of Jerusalem's greatness.,2.0,3.0,gradient,entailment,neutral,True,entailment
344,Uncertain-Flip,14562.0,The tide has turned so much that one might wonder whether Wilson needs to make such a fuss about the unity of knowledge.,7907.0,It will not be necessary for Wilson to make a fuss about the unity of knowledge.,It might not be necessary for Wilson to make a fuss about the unity of knowledge.,2.0,3.0,data-slices,contradiction,neutral,True,entailment
346,Certain-Flip,14562.0,The tide has turned so much that one might wonder whether Wilson needs to make such a fuss about the unity of knowledge.,7910.0,It might be a good idea for Wilson to make a fuss about the unity of knowledge.,It might not be necessary for Wilson to make a fuss about the unity of knowledge.,2.0,3.0,data-slices,contradiction,entailment,True,entailment
348,Uncertain-Flip,14942.0,it's so it almost needs to be something that has more impact for the individual on going,8166.0,it has to be something that affects society as much as the individual,it has to be something that affects society more than the individual,1.0,3.0,data-slices,neutral,contradiction,True,contradiction
351,Uncertain-Flip,15366.0,"Fifth, there might be changes in the role the Postal Service plays in policing the fraudulent use of the mails.",44781.0,The Postal Service is good enough with policing mail fraud.,The Postal Service isn't strict enough with policing mail fraud.,1.0,3.0,gradient,contradiction,neutral,True,neutral
353,Uncertain-Same,15519.0,"Small Byzantine churches sit on street corners, side by side with family homes.",45143.0,There is a good mix of Byzantine churches and family homes there.,There is a mix of Byzantine churches and family homes there.,2.0,3.0,gradient,entailment,neutral,True,entailment
359,Uncertain-Same,15578.0,"Edinburgh's population grew fast between 1500 and 1650, and a maze of tall, unsanitary tenements sprouted along the spine of the High Street.",45296.0,"Between 1500 and 1650, Edinburgh's High Street became overcrowded as plague plagues devastated the population.","Between 1500 and 1650, Edinburgh's High Street became desolate as plagues devastated the population.",2.0,3.0,gradient,contradiction,neutral,True,contradiction
364,Uncertain-Same,15810.0,"He was good, better than Jon let on, said the Kal.",46109.0,"Jon was not good, and the Kal knew it.","He was not good, and the Kal knew it. ",2.0,3.0,gradient,contradiction,neutral,True,contradiction
367,Uncertain-Same,16003.0,"Currently, despite being in production, it is unclear whether the supplier of the seeker can produce it within cost, schedule, and quality targets.",8867.0,"The supplier will be able to produce it on time, at the right price and quality.","The supplier will certainly not be able to produce it on time, at the right price and quality.",1.0,3.0,data-slices,contradiction,neutral,True,contradiction
369,Uncertain-Flip,16286.0,i wish that when they sentence someone if they're going to sentence him to five years then make him serve five years,47577.0,I think that all prisoners should be held to complete their original prison sentences.,I think that people should be held to complete their original prison sentences.,2.0,3.0,gradient,neutral,entailment,True,entailment
371,Uncertain-Same,16286.0,i wish that when they sentence someone if they're going to sentence him to five years then make him serve five years,47581.0,I think that people should be able to complete their original prison sentences.,I think that people should be held to complete their original prison sentences.,1.0,3.0,gradient,entailment,neutral,True,entailment
374,Uncertain-Flip,16317.0,He can indulge in the self-serving grandstanding and self-effacing silliness that only William Weld could possibly pull off.,9090.0,"He is the picture of self-deprecation and self-serving, just like William Weld.",He is the picture of self-deprecation and nothing like William Weld.,2.0,3.0,data-slices,entailment,contradiction,True,contradiction
377,Certain-Same,16320.0,"And in between, you'll come upon the historic towns of Toulouse, Albi, and Montpellier.",47664.0,"The route to our destination is surrounded by mountains, cliffs, and farmland.","The route to our destination is lined by mountains, cliffs, and farmland.",1.0,3.0,gradient,contradiction,neutral,True,contradiction
380,Uncertain-Same,16320.0,"And in between, you'll come upon the historic towns of Toulouse, Albi, and Montpellier.",47669.0,"The route to our town is surrounded by mountains, cliffs, and farmland.","The route to our destination is lined by mountains, cliffs, and farmland.",1.0,3.0,gradient,contradiction,neutral,True,contradiction
381,Uncertain-Same,16648.0,"Surrealism, a style he borrowed from Max Ernst and Yves Tanguy, gave him a way to express the rancid contents of his own psyche.",48708.0,"His psyche had many negative things inside, some of it.","His psyche had many negative things inside, some of it rancid.",1.0,3.0,gradient,entailment,neutral,True,entailment
383,Uncertain-Same,16648.0,"Surrealism, a style he borrowed from Max Ernst and Yves Tanguy, gave him a way to express the rancid contents of his own psyche.",48711.0,"His psyche had many negative things inside, it was rancid.","His psyche had many negative things inside, some of it rancid.",2.0,3.0,gradient,entailment,neutral,True,entailment
386,Uncertain-Same,17436.0,A rural route is defined in terms of the roads it traverses.,50912.0,A lot of roads make up what's known as a rural route.,A series of roads make up what's known as a rural route.,2.0,3.0,gradient,entailment,neutral,True,entailment
388,Certain-Flip,17436.0,A rural route is defined in terms of the roads it traverses.,50918.0,A series of highways make up what's known as a rural route.,A series of roads make up what's known as a rural route.,2.0,3.0,gradient,neutral,contradiction,True,entailment
390,Uncertain-Same,17454.0,because it's more comfortable for me but you know it's like when you're in school you either wear sweatpants or jeans,9635.0,"For me it's. Usually when you're in school, you'll wear sweatpants.","For me it's more comfortable. Usually when you're in school, you'll wear sweatpants.",2.0,3.0,data-slices,entailment,neutral,True,entailment
391,Uncertain-Same,17454.0,because it's more comfortable for me but you know it's like when you're in school you either wear sweatpants or jeans,9636.0,"For me it. Usually when you're in school, you'll wear sweatpants.","For me it's more comfortable. Usually when you're in school, you'll wear sweatpants.",2.0,3.0,data-slices,entailment,neutral,True,entailment
392,Certain-Same,17454.0,because it's more comfortable for me but you know it's like when you're in school you either wear sweatpants or jeans,9638.0,"For me it's much more comfortable. Usually when you're in school, you'll wear sweatpants.","For me it's more comfortable. Usually when you're in school, you'll wear sweatpants.",2.0,3.0,data-slices,entailment,neutral,True,entailment
393,Uncertain-Flip,17454.0,because it's more comfortable for me but you know it's like when you're in school you either wear sweatpants or jeans,9640.0,"For me jeans are more comfortable. Usually when you're in school, you'll wear sweatpants.","For me it's more comfortable. Usually when you're in school, you'll wear sweatpants.",2.0,3.0,data-slices,contradiction,neutral,True,entailment
394,Uncertain-Flip,17720.0,"Though harrowing, the second half of Boys Don't Cry isn't as great as the first.",51803.0,The first half of Boys Don't Cry was as great as the second.,The first half of Boys Don't Cry was better than the second.,2.0,3.0,gradient,contradiction,neutral,True,entailment
397,Uncertain-Same,17720.0,"Though harrowing, the second half of Boys Don't Cry isn't as great as the first.",51809.0,The first half of Boys Don't Cry was better than the first second.,The first half of Boys Don't Cry was better than the second.,2.0,3.0,gradient,entailment,neutral,True,entailment
399,Uncertain-Same,18033.0,hum-um no i used to i really did uh years ago and uh i was thinking about that not too long ago that,52914.0,"I started to do that, just like I did years ago.","I started to do it again, just like I did years ago.",2.0,3.0,gradient,neutral,contradiction,True,neutral
400,Uncertain-Flip,18033.0,hum-um no i used to i really did uh years ago and uh i was thinking about that not too long ago that,52917.0,"I started to think about doing it again, just like I did years ago.","I started to do it again, just like I did years ago.",2.0,3.0,gradient,entailment,neutral,True,neutral
401,Uncertain-Flip,18033.0,hum-um no i used to i really did uh years ago and uh i was thinking about that not too long ago that,52918.0,"I started thinking about doing it again, just like I did years ago.","I started to do it again, just like I did years ago.",2.0,3.0,gradient,entailment,neutral,True,neutral
402,Uncertain-Same,18549.0,The port is virtually round the corner from the passeig.,54498.0,You can easily get from the port to the passeig.,You can easily walk from the port to the passeig.,1.0,3.0,gradient,neutral,entailment,True,neutral
403,Uncertain-Same,18549.0,The port is virtually round the corner from the passeig.,54499.0,You can easily go from the port to the passeig.,You can easily walk from the port to the passeig.,1.0,3.0,gradient,neutral,entailment,True,neutral
407,Uncertain-Flip,19613.0,Spitting tobacco juice into the Styrofoam cup is a nice detail.,57543.0,I love the spiting of tobacco juice into the cup.,People will love the spiting of tobacco juice into the cup.,1.0,3.0,gradient,entailment,neutral,True,neutral
411,Uncertain-Flip,19722.0,Louis XIV died here in 1715 of gangrene of the leg.,57865.0,King Louis XIV chose to refuse medical treatment and preferred the advice of religious fanatics.,King Louis XIV was known to refuse medical treatment and preferred the advice of religious fanatics.,1.0,3.0,gradient,contradiction,neutral,True,neutral
415,Uncertain-Same,20008.0,"To ensure that the cap is met and to provide credibility, sources also are required to install systems that continuously monitor and report emissions.",11013.0,There is only one way to monitor and report emissions.,There is no good way to monitor and report emissions.,1.0,3.0,data-slices,contradiction,neutral,True,contradiction
421,Uncertain-Same,20008.0,"To ensure that the cap is met and to provide credibility, sources also are required to install systems that continuously monitor and report emissions.",58760.0,There is only one way to monitor and report emissions.,There is no good way to monitor and report emissions.,1.0,2.0,gradient,contradiction,neutral,True,contradiction
423,Uncertain-Flip,20012.0,"You will find that testing with computer programs often takes less than a day, depending on the complexity of the file.",11028.0,They did not have to run anything more than a day at a time.,They did not want to run anything more than a day at a time.,2.0,3.0,data-slices,contradiction,neutral,True,neutral
424,Uncertain-Flip,20012.0,"You will find that testing with computer programs often takes less than a day, depending on the complexity of the file.",11029.0,They did not want to run anything for a day at a time.,They did not want to run anything more than a day at a time.,2.0,3.0,data-slices,contradiction,neutral,True,neutral
430,Uncertain-Same,20546.0,Can't you make them a little more real?',60375.0,It would be much better if they were a bit more realistic.,It would be better if they were a bit more realistic.,2.0,3.0,gradient,entailment,neutral,True,entailment
432,Uncertain-Flip,20546.0,Can't you make them a little more real?',60381.0,It wouldn't be better if they were a bit more realistic.,It would be better if they were a bit more realistic.,2.0,3.0,gradient,neutral,contradiction,True,entailment
433,Uncertain-Same,20546.0,Can't you make them a little more real?',60382.0,They would be better if they were a bit more realistic.,It would be better if they were a bit more realistic.,2.0,3.0,gradient,entailment,neutral,True,entailment
435,Uncertain-Flip,21616.0,They can supply equipment and extra insurance if you need it.,63545.0,"They can supply equipment and insurance, but you'll have to get your equipment down the road.","They can sell you insurance, but you'll have to get your equipment down the road.",2.0,3.0,gradient,neutral,contradiction,True,contradiction
439,Uncertain-Flip,22397.0,And no sooner had I begun to enjoy my Slateness than glorious erotic opportunity went a-glimmering.,12213.0,They were not enjoying themselves due to the erotic opportunities emerging.,They were not enjoying themselves due to no erotic opportunities emerging.,1.0,3.0,data-slices,neutral,contradiction,True,contradiction
440,Uncertain-Flip,22397.0,And no sooner had I begun to enjoy my Slateness than glorious erotic opportunity went a-glimmering.,12216.0,They were not enjoying themselves due to the erotic opportunity emerging.,They were not enjoying themselves due to no erotic opportunities emerging.,1.0,3.0,data-slices,neutral,contradiction,True,contradiction
445,Uncertain-Flip,24717.0,because the economy is down people you know the the the low man on the pole is getting more of the i guess the bulk of it,13438.0,The high man on the pole also is getting more of it.,The high man on the pole also gets some of it.,2.0,3.0,data-slices,contradiction,neutral,True,neutral
446,Certain-Same,24933.0,"To get a clear sense of the original, start with the villa's excellent scale model.",13574.0,There are no scale models of the.,There are no scale models of the villa at all.,2.0,3.0,data-slices,contradiction,neutral,True,contradiction
448,Uncertain-Same,24933.0,"To get a clear sense of the original, start with the villa's excellent scale model.",13579.0,There are no other models of the villa at all.,There are no scale models of the villa at all.,2.0,3.0,data-slices,contradiction,neutral,True,contradiction
449,Uncertain-Same,24933.0,"To get a clear sense of the original, start with the villa's excellent scale model.",13581.0,There are no small scale models of the villa at all.,There are no scale models of the villa at all.,2.0,3.0,data-slices,contradiction,neutral,True,contradiction
450,Uncertain-Same,28909.0,Poblete claims that the reports will be posted as soon as Congress resolves technical hurdles.,15667.0,Poblete claims that the reports were lost due to technical difficulties and will.,Poblete claims that the reports were lost due to technical difficulties and will not be released.,2.0,3.0,data-slices,contradiction,neutral,True,contradiction
456,Uncertain-Same,29849.0,because uh there's no way they can even i think mathematically they're out of the play-off scene now,16104.0,"There is a chance they can, mathematically they are no longer in the play off race.","There is not a chance they can, mathematically they are no longer in the play off race.",2.0,3.0,data-slices,entailment,contradiction,True,entailment
458,Uncertain-Flip,30305.0,i've got a big Oldsmobile that i pull it with when i,16397.0,I pull my Jeep with it when I'm in my Oldsmobile.,"I pull my Jeep with it, not my Oldsmobile.",2.0,3.0,data-slices,neutral,contradiction,True,contradiction
463,Uncertain-Same,32065.0,On Monday Mrs. Inglethorp will take the last dose of her medicine.,17437.0,Mrs. Inglethorp will not take any more of her medication on Monday.,Mrs. Inglethorp will not take any more of her medicine after Monday.,1.0,3.0,data-slices,entailment,contradiction,True,entailment
465,Certain-Flip,32065.0,On Monday Mrs. Inglethorp will take the last dose of her medicine.,17446.0,Mrs. Inglethorp will not take her last dose of her medicine after Monday.,Mrs. Inglethorp will not take any more of her medicine after Monday.,1.0,3.0,data-slices,contradiction,entailment,True,entailment
471,Uncertain-Flip,34035.0,We agree that climate change is a serious issue we need to address.,18609.0,Climate change has been previously recognized as a serious issue.,Climate change has not been previously recognized as a serious issue.,2.0,3.0,data-slices,entailment,neutral,True,neutral
475,Certain-Flip,34167.0,"The influence is clear even in the most spectacular of the Brenta villas, at Stra, the opulent Villa Pisani, or Villa Nazionale.",18702.0,The influence is less clear at the Villa Nazionale than at Stra.,The influence is more clearly felt at the Villa Nazionale than at Stra.,1.0,3.0,data-slices,contradiction,neutral,True,neutral
476,Uncertain-Flip,34167.0,"The influence is clear even in the most spectacular of the Brenta villas, at Stra, the opulent Villa Pisani, or Villa Nazionale.",18704.0,The influence is less clearly felt at the Villa Nazionale than at Stra.,The influence is more clearly felt at the Villa Nazionale than at Stra.,1.0,3.0,data-slices,contradiction,neutral,True,neutral
477,Uncertain-Flip,34167.0,"The influence is clear even in the most spectacular of the Brenta villas, at Stra, the opulent Villa Pisani, or Villa Nazionale.",18705.0,The influence is less felt at the Villa Nazionale than at Stra.,The influence is more clearly felt at the Villa Nazionale than at Stra.,1.0,3.0,data-slices,contradiction,neutral,True,neutral
478,Certain-Flip,34742.0,The stock market historically has a higher rate of return than government bonds do.,19009.0,Government bonds are performing better than five years ago.,Government bonds are performing worse now than five years ago.,1.0,3.0,data-slices,contradiction,neutral,True,neutral
479,Uncertain-Flip,34742.0,The stock market historically has a higher rate of return than government bonds do.,19010.0,Government bonds are performing better now than five years ago.,Government bonds are performing worse now than five years ago.,1.0,3.0,data-slices,contradiction,neutral,True,neutral
480,Uncertain-Flip,34742.0,The stock market historically has a higher rate of return than government bonds do.,19012.0,Government bonds are performing better than they did five years ago.,Government bonds are performing worse now than five years ago.,1.0,3.0,data-slices,contradiction,neutral,True,neutral
482,Uncertain-Flip,36791.0,we all would say who are in industry and everything we'd say hey this means business we ought to,20189.0,The industry doesn't need people like us who mean business.,The industry need more people like us who mean business.,1.0,3.0,data-slices,contradiction,neutral,True,neutral
493,Certain-Same,42015.0,"Thought you were quite a meek little kid with just enough brains for my purpose.""",22853.0,I expected you to be little more than a naive child.,I expected you to be nothing more than a naive child.,2.0,3.0,data-slices,entailment,neutral,True,entailment
494,Uncertain-Flip,43000.0,The main reason I only bought one or two was I knew that after playing them I would generally be stuck with them.,23370.0,"I did not want to buy more, so I only bought a couple.",I did not want to buy more than a couple.,2.0,3.0,data-slices,neutral,entailment,True,entailment
496,Uncertain-Same,44014.0,right um i wonder i wonder if now the people in the Soviet Union don't have ideas very different from that so at least,23967.0,I am not at all sure about wondering if people have different ideas from the Soviet Union than today.,I am not at all curious about wondering if people have different ideas from the Soviet Union than today.,1.0,3.0,data-slices,contradiction,neutral,True,contradiction
497,Certain-Flip,44014.0,right um i wonder i wonder if now the people in the Soviet Union don't have ideas very different from that so at least,23973.0,I am curious about wondering if people have different ideas from the Soviet Union than today.,I am not at all curious about wondering if people have different ideas from the Soviet Union than today.,2.0,3.0,data-slices,entailment,neutral,True,contradiction
498,Uncertain-Flip,44014.0,right um i wonder i wonder if now the people in the Soviet Union don't have ideas very different from that so at least,23974.0,"I am not at all sure, but I am wondering if people have different ideas from the Soviet Union than today.",I am not at all curious about wondering if people have different ideas from the Soviet Union than today.,2.0,3.0,data-slices,neutral,entailment,True,contradiction
499,Uncertain-Flip,44014.0,right um i wonder i wonder if now the people in the Soviet Union don't have ideas very different from that so at least,23976.0,I am not sure about wondering if people have different ideas from the Soviet Union than today.,I am not at all curious about wondering if people have different ideas from the Soviet Union than today.,2.0,3.0,data-slices,entailment,neutral,True,contradiction
504,Uncertain-Flip,50655.0,"""Blue Bellies?"" Drew was wrenched back months, a year, by that old army slang.",27447.0,Drew was remembering the time he was in the army because of the term Blue Bellies.,Drew was remembering the past in the army because of the term Blue Bellies.,1.0,3.0,data-slices,neutral,entailment,True,entailment
506,Uncertain-Flip,50655.0,"""Blue Bellies?"" Drew was wrenched back months, a year, by that old army slang.",27451.0,Drew was remembering his time in the army because of the term Blue Bellies.,Drew was remembering the past in the army because of the term Blue Bellies.,1.0,3.0,data-slices,neutral,entailment,True,entailment
508,Uncertain-Flip,51456.0,"His head turned, his attitude now one of listening concentration.",27968.0,"Before he turned his head, he was listening.","Before he turned his head, he was not listening.",2.0,3.0,data-slices,contradiction,neutral,True,neutral
509,Uncertain-Flip,51456.0,"His head turned, his attitude now one of listening concentration.",27973.0,"Before he turned his head, he was focused on listening.","Before he turned his head, he was not listening.",2.0,3.0,data-slices,contradiction,neutral,True,neutral
512,Uncertain-Same,52021.0,Some have argued that the mission of the visa function is primarily related to homeland security and that therefore the function should be located within the proposed department.,28334.0,The mission of the visa function was discussed by a lot of people.,The mission of the visa function was discussed by some people.,1.0,3.0,data-slices,entailment,neutral,True,entailment
514,Uncertain-Same,53815.0,"From here, it's a short walk west to the grounds of Shinobazu Pond.",29255.0,"If you will walk west from Shinobazu Pond, you will go to the Whisperer's Forest.","If you will walk past, you will go to the Whisperer's Forest.",1.0,3.0,data-slices,contradiction,neutral,True,contradiction
516,Certain-Same,53815.0,"From here, it's a short walk west to the grounds of Shinobazu Pond.",29257.0,"If you will walk west, you will go to the Whisperer's Forest.","If you will walk past, you will go to the Whisperer's Forest.",1.0,3.0,data-slices,contradiction,neutral,True,contradiction
518,Certain-Flip,54357.0,Estimating the private saving offset is complicated by the fact that individuals may respond differently to changes in government saving.,29566.0,Individuals may react differently if they realize the government is saving less.,Individuals might save more if they realize the government is saving less.,2.0,3.0,data-slices,entailment,neutral,True,neutral
521,Uncertain-Flip,54357.0,Estimating the private saving offset is complicated by the fact that individuals may respond differently to changes in government saving.,29569.0,Individuals might save differently if they realize the government is saving less.,Individuals might save more if they realize the government is saving less.,2.0,3.0,data-slices,entailment,neutral,True,neutral
524,Uncertain-Same,58558.0,We selected six private sector companies and three state governments to serve as our case studies.,31823.0,We chose only a handful of companies in the private sector.,We chose more than a handful of companies in the private sector.,2.0,3.0,data-slices,entailment,contradiction,True,entailment
525,Uncertain-Same,58558.0,We selected six private sector companies and three state governments to serve as our case studies.,31826.0,We only chose a handful of companies in the private sector.,We chose more than a handful of companies in the private sector.,2.0,3.0,data-slices,entailment,contradiction,True,entailment
527,Uncertain-Same,64405.0,"Being president is not about bucking authority, it's about being authority.",34803.0,Being president should not allow you to shrug off authority but be more than that.,Being president should not allow you to shrug off authority but be better than that.,2.0,3.0,data-slices,neutral,entailment,True,neutral
530,Certain-Same,64885.0,The Manson fight is a morality play in which everyone wins.,35044.0,The brawl is based on principles of morality in which no one loses.,The brawl is based on principles where no one loses.,2.0,3.0,data-slices,entailment,neutral,True,entailment
531,Uncertain-Same,64885.0,The Manson fight is a morality play in which everyone wins.,35045.0,The brawl is based on morality because no one loses.,The brawl is based on principles where no one loses.,1.0,3.0,data-slices,entailment,neutral,True,entailment
532,Uncertain-Same,64885.0,The Manson fight is a morality play in which everyone wins.,35046.0,The brawl is based on principles where.,The brawl is based on principles where no one loses.,2.0,3.0,data-slices,entailment,neutral,True,entailment
533,Uncertain-Flip,64885.0,The Manson fight is a morality play in which everyone wins.,35047.0,The brawl is based on principles where everyone wins and no one loses.,The brawl is based on principles where no one loses.,2.0,3.0,data-slices,neutral,entailment,True,entailment
536,Uncertain-Same,65448.0,"They don't seem to have the damage they claim they have, and they're bragging about it.",35416.0,They're bragging about not having any.,They're bragging about not having any damage at all.,2.0,3.0,data-slices,contradiction,neutral,True,contradiction
